,app,alg,f_of_S,Time,TimeDist,TimePost,SolSize,k,n,nNodes,nThreads,trial
2,RevMax,MED+RG,192.0,49.71158003807068,49.70177412033081,0.0,16,16,100000,32,1,1
3,RevMax,MED+RG,380.0,94.3394238948822,94.329607963562,0.0,32,32,100000,32,1,1
4,RevMax,MED+RG,732.0,206.55706095695496,206.54669713974,0.0,64,64,100000,32,1,1
5,RevMax,MED+RG,1436.0,539.7317960262299,539.7217538356781,0.0,128,128,100000,32,1,1
6,RevMax,MED+RG,2844.0,1198.6556870937347,1198.6455600261688,0.0,256,256,100000,32,1,1
7,RevMax,MED+RG,5660.0,2749.1379919052124,2749.1252818107605,0.0,512,512,100000,32,1,1
8,RevMax,MED+RG,11292.0,5924.095602989197,5924.078323364258,0.0,1024,1024,100000,32,1,1
9,RevMax,MED+RG,22556.0,11804.8689558506,11804.83367061615,0.0,2048,2048,100000,32,1,1
10,RevMax,MED+RG,33264.25297650745,19312.939972162247,19312.89898610115,0.0,3125,3125,100000,32,1,1
0,RevMax,MED+RG,48.0,20.55459189414978,20.543971061706543,0.0,4,4,100000,32,1,1
1,RevMax,MED+RG,96.0,21.562777996063232,21.551615953445435,0.0,8,8,100000,32,1,1
2,RevMax,MED+RG,192.0,49.51481580734253,49.50481414794922,0.0,16,16,100000,32,1,1
3,RevMax,MED+RG,380.0,89.9858820438385,89.97585797309875,0.0,32,32,100000,32,1,1
4,RevMax,MED+RG,732.0,222.57981300354004,222.5691328048706,0.0,64,64,100000,32,1,1
5,RevMax,MED+RG,1436.0,500.3762910366058,500.3654251098633,0.0,128,128,100000,32,1,1
6,RevMax,MED+RG,2844.0,1121.1615691184998,1121.1507940292358,0.0,256,256,100000,32,1,1
7,RevMax,MED+RG,5660.0,2755.1022078990936,2755.091765642166,0.0,512,512,100000,32,1,1
8,RevMax,MED+RG,11292.0,5703.040038108826,5703.026565313339,0.0,1024,1024,100000,32,1,1
9,RevMax,MED+RG,22556.0,11264.359166145325,11264.331927537918,0.0,2048,2048,100000,32,1,1
